epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,6289.73,0.97541,0.3805,1.08926,0.98162,0.94761,0.97707,0.70786,1.06893,0.38838,1.12588,0.000925,0.000925,0.000925
112,6345.25,0.9682,0.37552,1.08643,0.98115,0.9467,0.97699,0.70797,1.06861,0.38826,1.12576,0.0008425,0.0008425,0.0008425
113,6400.71,0.96296,0.37173,1.07929,0.98099,0.94715,0.97705,0.70869,1.06917,0.38777,1.12578,0.00076,0.00076,0.00076
114,6456.01,0.95548,0.36815,1.08269,0.97619,0.95245,0.97707,0.70892,1.06907,0.3873,1.12558,0.0006775,0.0006775,0.0006775
115,6511.65,0.95561,0.36938,1.07906,0.97684,0.95171,0.97704,0.70877,1.06882,0.38644,1.12539,0.000595,0.000595,0.000595
116,6567.29,0.95488,0.36643,1.07853,0.98158,0.94699,0.97719,0.70861,1.06829,0.38657,1.12519,0.0005125,0.0005125,0.0005125
117,6623.4,0.95364,0.36231,1.08095,0.98142,0.9467,0.97713,0.70858,1.06797,0.3861,1.12499,0.00043,0.00043,0.00043
118,6679.63,0.95157,0.36453,1.07698,0.98197,0.94715,0.97693,0.70836,1.06748,0.38607,1.12494,0.0003475,0.0003475,0.0003475
119,6736.12,0.95062,0.36,1.07965,0.98218,0.9467,0.97686,0.70802,1.06742,0.38607,1.1247,0.000265,0.000265,0.000265
120,6791.94,0.94518,0.36131,1.0766,0.98256,0.9467,0.97682,0.70879,1.06739,0.38567,1.12464,0.0001825,0.0001825,0.0001825
